Error_Model,Strength,Process_Infidelity,Gate,F_CB,F_SCG,Gauge_Fidelity,F_CB_hat
ZXZXZ,1,6.250781966787855e-05,Gate.cx,0.989876201660027,0.9898757879421235,0.9999373884405135,0.9898533587999644
ZXZXZ,1,6.250781966787855e-05,Gate.t,0.994937840978751,0.9949375372743213,0.9999685927292018,0.994778465680915
ZXZXZ,1,6.250781966787855e-05,Gate.h,0.9989375588219251,0.9989318782250353,0.9999687291512398,0.9989274825766593
ZXZXZ,1,6.250781966787855e-05,Gate.id,0.9999374921803321,0.9999374921803313,0.9999687451132983,0.9999378362290351
ZXZXZ,2,0.0002500000208510711,Gate.cx,0.9895050251223103,0.9895033470893742,0.9997495729935091,0.9895782289211699
ZXZXZ,2,0.0002500000208510711,Gate.t,0.9947512862317754,0.9947500647856282,0.9998743742651022,0.9948658104737067
ZXZXZ,2,0.0002500000208510711,Gate.h,0.9987502541121682,0.9987386934186917,0.9998749189307548,0.9987349065033089
ZXZXZ,2,0.0002500000208510711,Gate.id,0.999749999979149,0.9997499999791487,0.9998749843606651,0.9997472154855336
ZXZXZ,3,0.0005623828457183011,Gate.cx,0.9888867583887214,0.9888828960940497,0.9994366113656252,0.9889156485688693
ZXZXZ,3,0.0005623828457183011,Gate.t,0.9944404653097046,0.9944376921998752,0.9997173546513696,0.9944102165728577
ZXZXZ,3,0.0005623828457183011,Gate.h,0.9984381836688343,0.9984205304525032,0.9997185785527443,0.9984174827568502
ZXZXZ,3,0.0005623828457183011,Gate.id,0.9994376171542817,0.9994376171542811,0.9997187294640267,0.9994315603442805
ZXZXZ,4,0.000999500083317506,Gate.cx,0.9880219421890525,0.9880148602548857,0.9989985996968174,0.9880546548612941
ZXZXZ,4,0.000999500083317506,Gate.t,0.9940055336424432,0.9940005418084132,0.9994975506160728,0.9940261375687143
ZXZXZ,4,0.000999500083317506,Gate.h,0.9980015035466658,0.9979775316727679,0.9994997246766257,0.9979851456125616
ZXZXZ,4,0.000999500083317506,Gate.id,0.9990004999166826,0.9990004999166818,0.9994999999583,0.9990155651701473
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.cx,0.9898762044803231,0.9898755080098913,0.9999367064549171,0.9897846787440768
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.t,0.9949378438690857,0.9950002176451938,0.9999680503988132,0.994981747138905
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.h,0.9989375595940873,0.9989316717387291,0.9999684141572913,0.9989269818667003
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.id,0.9999374921372444,0.9999374921254606,0.9999685476874874,0.9999383268983214
