Error_Model,Strength,Process_Infidelity,Gate,F_CB,F_SCG,Gauge_Fidelity,F_CB_hat
Gate_Independent,1,6.251928297185128e-05,Gate.cx,0.9889695661830592,0.9889695661830592,1.0,0.988958917608086
Gate_Independent,1,6.251928297185128e-05,Gate.t,0.9949378295727632,0.994937829572763,1.0000000000000002,0.9949891634120228
Gate_Independent,1,6.251928297185128e-05,Gate.h,0.9985841593290116,0.9985841593290103,1.0,0.9985832007006832
Gate_Independent,1,6.251928297185128e-05,Gate.id,0.999937480717028,0.9999374807170274,1.0,0.9999355622650532
Gate_Independent,2,0.0002500614972442,Gate.cx,0.9876926613181248,0.9876926613181246,0.9999999999999998,0.9876438075302746
Gate_Independent,2,0.0002500614972442,Gate.t,0.9947512250627616,0.9947512250627611,1.0000000000000002,0.9947912474481077
Gate_Independent,2,0.0002500614972442,Gate.h,0.9980435675083968,0.998043567508396,1.0,0.9980394235599572
Gate_Independent,2,0.0002500614972442,Gate.id,0.9997499385027556,0.9997499385027548,1.0,0.999750330674398
Gate_Independent,3,0.0005625797427984,Gate.cx,0.9861700465422484,0.9861700465422486,1.0,0.9861994086368324
Gate_Independent,3,0.0005625797427984,Gate.t,0.9944402693971026,0.9944402693971024,1.0000000000000002,0.994414825350814
Gate_Independent,3,0.0005625797427984,Gate.h,0.9973783638618404,0.9973783638618392,0.9999999999999998,0.9973664187799388
Gate_Independent,3,0.0005625797427984,Gate.id,0.9994374202572012,0.9994374202572004,1.0,0.999437788885452
Gate_Independent,4,0.0009999958659678,Gate.cx,0.9844026728471288,0.9844026728471286,0.9999999999999998,0.9846504687967444
Gate_Independent,4,0.0009999958659678,Gate.t,0.9940050403386876,0.9940050403386868,1.0,0.9939615788726066
Gate_Independent,4,0.0009999958659678,Gate.h,0.996588714741562,0.9965887147415616,1.0000000000000002,0.9965732237311336
Gate_Independent,4,0.0009999958659678,Gate.id,0.999000004134032,0.9990000041340312,1.0,0.998995311730166
Gate_Dependent,1,6.250479676050968e-05,Gate.cx,0.9893184261170724,0.9887488717676498,0.9999658119634652,0.9886853247968214
Gate_Dependent,1,6.250479676050968e-05,Gate.t,0.99459605174602,0.9942361243745,0.9999828878988316,0.994433330213548
Gate_Dependent,1,6.250479676050968e-05,Gate.h,0.998718816220554,0.9984942058947868,0.9999829279749762,0.9984929655018736
Gate_Dependent,1,6.250479676050968e-05,Gate.id,0.9999318130898872,0.9998977217659912,0.9999829525944474,0.9998976953603782
Gate_Dependent,2,0.0002499980061693,Gate.cx,0.9883678590922402,0.9871836217553478,0.9998631675534412,0.987223244798852
Gate_Dependent,2,0.0002499980061693,Gate.t,0.9940567494768672,0.9932898392950864,0.999931507992032,0.99335123694228
Gate_Dependent,2,0.0002499980061693,Gate.h,0.9983015385756469,0.9978295484716064,0.9999316777173556,0.9978209848405486
Gate_Dependent,2,0.0002499980061693,Gate.id,0.9997272771566416,0.9995909498350511,0.9999318084437466,0.9995921276521444
Gate_Dependent,3,0.0005624160931698,Gate.cx,0.9871489962288114,0.98530547863027,0.9996919353109232,0.9853174732462412
Gate_Dependent,3,0.0005624160931698,Gate.t,0.9933823255786902,0.9921617808934948,0.999845781956497,0.9916757551548584
Gate_Dependent,3,0.0005624160931698,Gate.h,0.9977483229479672,0.9970062329416238,0.9998461903397656,0.9969702286764064
Gate_Dependent,3,0.0005624160931698,Gate.id,0.9993864665825206,0.9990798725183117,0.9998465617658956,0.9990786557589976
Gate_Dependent,4,0.0009996531912048,Gate.cx,0.9856627782348104,0.9831159805743088,0.9994519693778844,0.9830609432373126
Gate_Dependent,4,0.0009996531912048,Gate.t,0.9925730253148588,0.9908526280692008,0.9997256140843158,0.9891833175648608
Gate_Dependent,4,0.0009996531912048,Gate.h,0.997059370521858,0.9960245200685656,0.999726396747632,0.9959980902000994
Gate_Dependent,4,0.0009996531912048,Gate.id,0.9989095053078972,0.9983648036607566,0.9997272029915076,0.9983661841459672
ZXZXZ,1,6.250781966787855e-05,Gate.cx,0.989876201660027,0.9898757879421236,0.9999373884405136,0.9898533587999644
ZXZXZ,1,6.250781966787855e-05,Gate.t,0.9949378409787512,0.9949375370044646,0.9999685926284148,0.994778465680915
ZXZXZ,1,6.250781966787855e-05,Gate.h,0.9989375588219253,0.9989318782250352,0.9999687291512398,0.9989274825766592
ZXZXZ,1,6.250781966787855e-05,Gate.id,0.999937492180332,0.9999374921803312,0.9999687451132984,0.9999378362290352
ZXZXZ,2,0.000250000020851,Gate.cx,0.9895050251223104,0.9895033470893742,0.9997495729935092,0.98957822892117
ZXZXZ,2,0.000250000020851,Gate.t,0.9947512862317752,0.9947500604647546,0.9998743726526866,0.9948658104737068
ZXZXZ,2,0.000250000020851,Gate.h,0.9987502541121682,0.9987386934186916,0.9998749189307548,0.9987349065033088
ZXZXZ,2,0.000250000020851,Gate.id,0.999749999979149,0.9997499999791488,0.9998749843606652,0.9997472154855336
ZXZXZ,3,0.0005623828457183,Gate.cx,0.9888867583887214,0.9888828960940496,0.9994366113656252,0.9889156485688692
ZXZXZ,3,0.0005623828457183,Gate.t,0.9944404653097048,0.9944376703000988,0.9997173464723984,0.9944102165728576
ZXZXZ,3,0.0005623828457183,Gate.h,0.9984381836688344,0.9984205304525032,0.9997185785527444,0.9984174827568502
ZXZXZ,3,0.0005623828457183,Gate.id,0.9994376171542816,0.9994376171542813,0.9997187294640268,0.9994315603442804
ZXZXZ,4,0.0009995000833175,Gate.cx,0.9880219421890524,0.9880148602548856,0.9989985996968174,0.988054654861294
ZXZXZ,4,0.0009995000833175,Gate.t,0.994005533642443,0.9940004724819947,0.9994975246950418,0.9940261375687144
ZXZXZ,4,0.0009995000833175,Gate.h,0.9980015035466658,0.997977531672768,0.9994997246766256,0.9979851456125616
ZXZXZ,4,0.0009995000833175,Gate.id,0.9990004999166826,0.9990004999166818,0.9994999999583,0.9990155651701472
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.cx,0.9898762044803232,0.9898755080098912,0.9999367064549172,0.9897846787440768
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.t,0.9949378438690856,0.995000217249954,0.9999680502091258,0.994981747138905
ZXZXZ_Tilted,1,6.250786275585618e-05,Gate.h,0.9989375595940873,0.9989316717387292,0.9999684141572912,0.9989269818667004
